asm_misc_Virtual,asm_misc_Offset,asm_misc_loc,asm_misc_Import,asm_misc_Imports,asm_misc_var,asm_misc_Forwarder,asm_misc_UINT,asm_misc_LONG,asm_misc_BOOL,asm_misc_WORD,asm_misc_BYTES,asm_misc_large,asm_misc_short,asm_misc_dd,asm_misc_db,asm_misc_dw,asm_misc_XREF,asm_misc_ptr,asm_misc_DATA,asm_misc_FUNCTION,asm_misc_extrn,asm_misc_byte,asm_misc_word,asm_misc_dword,asm_misc_char,asm_misc_DWORD,asm_misc_stdcall,asm_misc_arg,asm_misc_locret,asm_misc_asc,asm_misc_align,asm_misc_WinMain,asm_misc_unk,asm_misc_cookie,asm_misc_off,asm_misc_nullsub,asm_misc_DllEntryPoint,asm_misc_System32,asm_misc_dll,asm_misc_CHUNK,asm_misc_BASS,asm_misc_HMENU,asm_misc_DLL,asm_misc_LPWSTR,asm_misc_void,asm_misc_HRESULT,asm_misc_HDC,asm_misc_LRESULT,asm_misc_HANDLE,asm_misc_HWND,asm_misc_LPSTR,asm_misc_int,asm_misc_HLOCAL,asm_misc_FARPROC,asm_misc_ATOM,asm_misc_HMODULE,asm_misc_WPARAM,asm_misc_HGLOBAL,asm_misc_entry,asm_misc_rva,asm_misc_COLLAPSED,asm_misc_config,asm_misc_exe,asm_misc_Software,asm_misc_CurrentVersion,asm_misc___imp_,asm_misc_INT_PTR,asm_misc_UINT_PTR,asm_misc_---Seperator,asm_misc_PCCTL_CONTEXT,asm_misc___IMPORT_,asm_misc_INTERNET_STATUS_CALLBACK,asm_misc_.rdata:,asm_misc_.data:,asm_misc_.text:,asm_misc_case,asm_misc_installdir,asm_misc_market,asm_misc_microsoft,asm_misc_policies,asm_misc_proc,asm_misc_scrollwindow,asm_misc_search,asm_misc_trap,asm_misc_visualc,asm_misc____security_cookie,asm_misc_assume,asm_misc_callvirtualalloc,asm_misc_exportedentry,asm_misc_hardware,asm_misc_hkey_current_user,asm_misc_hkey_local_machine,asm_misc_sp-analysisfailed,asm_misc_unableto
3,3,689,18,6,890,6,39,17,88,0,218,6,292,87450,63877,443,1380,648,966,218,227,361,554,1232,89,105,266,287,4,76,511,532,164,10,91,15,0,0,39,7,0,4,8,7,255,1,8,4,52,45,18,518,3,1,0,13,3,7,0,245,218,0,0,0,0,1,5,4,400,0,12,0,355,50,93,0,0,0,6,0,172,0,0,11,3,0,4,0,0,0,0,0,0,2
3,3,583,15,5,1574,5,6,7,30,0,15,1,226,2911,5817,100,488,313,166,19,76,74,175,1641,0,29,64,70,3,0,66,19,6,0,24,2,0,0,25,9,0,0,5,0,9,0,7,0,15,0,3,27,1,0,0,3,0,2,0,91,12,0,0,0,0,7,0,0,130,0,10,0,0,91,88,0,0,0,1,0,82,0,0,1,0,0,4,0,0,0,0,0,23,0
3,4,2796,15,5,625,5,58,11,152,4,13,0,1525,671,1367070,456,2335,304,1047,16,456,511,912,3702,38,93,285,132,16,0,516,41,16,0,342,1,0,0,25,6,0,5,5,1,59,0,94,0,41,56,18,283,3,1,0,5,1,2,0,471,11,0,20,0,0,4,2,1,1011,0,10,0,469,1,796,0,0,0,1,0,185,8,4,0,0,0,4,0,0,0,0,0,0,0
3,3,373,27,9,615,9,16,10,34,0,8,0,199,65917,1319,122,402,319,183,7,117,108,287,295,0,42,102,0,20,0,81,28,4,0,27,2,0,0,45,0,0,1,9,10,15,16,5,1,12,26,6,44,2,1,0,4,1,1,0,144,8,0,0,0,0,4,1,0,25,0,18,0,143,0,32,0,0,0,1,0,36,0,0,1,0,0,4,0,0,0,0,0,0,0
3,3,77,12,4,66,4,3,0,5,0,14,3,50,106,139,38,164,53,109,11,29,12,61,89,27,7,14,12,6,2,31,0,15,15,18,0,3,0,27,2,0,0,4,0,15,0,0,1,1,1,0,3,0,1,0,3,0,0,1,51,14,1,0,0,0,7,0,0,20,0,8,0,58,1,38,0,0,0,1,0,33,0,0,0,0,6,4,0,1,0,0,0,2,0
3,3,86,6,2,6,2,0,0,1,0,25,0,4,284,77888,19,66,11,25,69,14,2,28,22,2,9,10,0,0,0,4,0,1,0,6,0,0,0,10,69,0,0,2,0,5,0,0,0,1,0,3,8,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,71,0,4,0,0,0,59,0,0,0,1,0,2,0,0,1,0,0,7,0,0,0,0,0,1,0
3,3,469,21,7,291,7,43,15,82,0,207,0,181,115646,59073,294,928,112,675,207,236,73,478,636,57,105,237,95,4,5,290,150,95,10,66,21,0,0,38,7,0,7,9,4,34,2,10,4,51,45,19,105,3,1,1,14,3,7,0,254,207,0,0,0,0,1,4,3,299,0,14,0,257,54,19,0,0,0,3,0,89,0,0,11,0,0,4,0,0,0,0,0,0,2
3,3,2090,21,7,4035,7,17,8,40,0,317,10,717,1033,25661,142,2054,1795,1023,319,120,325,623,1571,231,86,148,2169,45,117,495,2,192,62,166,3,0,0,92,12,0,1,9,16,186,5,0,1,36,5,43,303,0,1,0,5,0,0,0,147,316,1,3,0,2,1,0,0,401,0,14,0,336,131,4,0,0,0,12,0,223,0,0,11,1,25,4,0,0,0,0,0,1,4
3,3,691,18,6,597,6,30,16,61,0,245,18,273,719,2352305,213,1106,324,719,245,203,82,466,685,80,89,212,170,2,5,299,166,146,10,117,3,0,0,33,7,0,1,8,5,147,0,7,3,37,31,15,154,3,1,2,11,3,7,0,221,245,0,0,0,0,1,3,2,140,0,12,0,249,57,59,0,0,0,6,0,113,0,0,11,3,0,4,0,0,0,0,0,0,2
6,6,229,0,8,526,0,11,1,13,0,6,5,101,7246,2082,120,141,288,1570,7,67,61,33,247,0,24,64,24,0,0,87,0,3,0,2,2,0,0,8,6,0,0,0,2,9,0,0,0,7,2,11,20,6,2,0,8,0,0,0,0,4,0,0,0,0,0,0,0,136,0,0,0,4,0,0,0,0,0,1,0,25,0,0,0,0,0,9,0,0,0,0,0,1,0
