byte_filesize,byte_offset
7112192,4198400
4870144,4198400
6176768,4198400
3385344,4198400
8493056,4198400
11329024,4198400
8493056,4198400
8493056,4198400
8507904,4198400
11329024,4198400
8493056,4198400
8493056,4198400
8493056,4198400
8507904,4198400
8493056,4198400
8493056,4198400
8507904,4198400
8493056,4198400
8493056,4198400
1618432,2083786752
8493056,4198400
8493056,4198400
8507904,4198400
876032,268439552
8493056,4198400
8493056,4198400
8507904,4198400
1009664,1728057344
2746880,4198400
1707520,1732251648
549376,1634340864
2732032,268439552
4469248,4198400
8493056,4198400
742400,1763770368
8493056,4198400
534528,1647316992
1262080,1285423104
890880,4198400
905728,4198400
11329024,4198400
2108416,4198400
460288,16781312
534528,268439552
579072,16781312
8507904,4198400
2167808,4198400
965120,268439552
8507904,4198400
742400,1665929216
8507904,4198400
4751360,4198400
11329024,4198400
831488,4198400
4870144,4198400
1054208,4198400
8493056,4198400
3370496,4198400
608768,4198400
519680,1853362176
1069056,4132864
8493056,4198400
8493056,4198400
8493056,4198400
11329024,4198400
668160,1706299392
8493056,4198400
519680,268439552
8507904,4198400
5968896,4198400
1054208,268439552
1662976,4198400
8493056,4198400
8493056,4198400
11878400,4198400
460288,4198400
8493056,4198400
415744,1264193536
1143296,4198400
1870848,4198400
3622912,4198400
11329024,4198400
8493056,4198400
3370496,4198400
8493056,4198400
11329024,4198400
8507904,4198400
564224,1929773056
1247232,4198400
8493056,4198400
8507904,4198400
7364608,4198400
4281406,4198400
905728,268439552
1499648,4198400
8507904,4198400
8493056,4198400
7052800,4198400
460288,4198400
11017216,4198400
638464,4198400
786944,4198400
8507904,4198400
8507904,4198400
8507904,4198400
2420224,4198400
8493056,4198400
831488,268435456
8493056,4198400
8507904,4198400
668160,268435456
8493056,4198400
653312,268439552
8493056,4198400
668160,16781312
8493056,4198400
8493056,4198400
8493056,4198400
8493056,4198400
8493056,4198400
1217536,268439552
2316288,268439552
4810752,4198400
772096,4198400
8507904,4198400
430592,268439552
727552,4198400
549376,16781312
623616,16781312
8507904,4198400
2895360,5640192
8493056,4198400
8493056,4198400
1083904,1615073280
8493056,4198400
653312,1832849408
430592,4198400
8493056,4198400
8507904,4198400
8493056,4198400
4840448,4198400
8493056,4198400
4825600,4198400
11432960,4198400
8507904,4198400
489984,268439552
8493056,4198400
1380864,268439552
994816,4198400
8507904,4198400
445440,4198400
2939904,4198400
8507904,4198400
8507904,4198400
460288,4198400
8507904,4198400
11329024,4198400
4810752,4198400
8493056,4198400
1469952,268439552
460288,4198400
11329024,4198400
8507904,4198400
11329024,4198400
8092160,4198400
8493056,4198400
8493056,4198400
8493056,4198400
460288,4198400
460288,184553472
4443728,4198400
638464,1679298560
460288,4198400
8983040,4198400
460288,4198400
950272,4198400
460288,4198400
8493056,4198400
1455104,4194304
460288,4198400
8493056,4198400
1128448,4198400
8493056,4198400
6963712,4198400
1143296,268439552
12813824,4198400
8493056,4198400
712704,268439552
489984,753405952
1677824,4198400
623616,4198400
460288,4198400
683008,4198400
757248,4198400
8507904,4198400
8507904,4198400
445440,4198400
1128448,268439552
8493056,4198400
7320064,4198400
460288,4198400
460288,4198400
8493056,4198400
1039360,4198400
3533824,4198400
668160,4198400
475136,4198400
1484800,4198400
831488,4198400
653312,268439552
1202688,4198400
994816,4198400
668160,4198400
1158144,268439552
1514496,4198400
1915392,4198400
4870144,4198400
876032,4198400
4810752,4198400
772096,268439552
8507904,4198400
4543488,4198400
8686080,4198400
2123264,4198400
534528,4198400
5983744,4198400
8522752,4198400
9190912,4198400
8493056,4198400
5300736,4198400
1336320,4198400
3489280,4198400
712704,4198400
8493056,4198400
8344576,4198400
11893248,4198400
8493056,4198400
8493056,4198400
8567296,4198400
3860480,4198400
3370496,4198400
460288,4198400
876032,4198400
2242048,4198400
8507904,4198400
11329024,4198400
4458156,4198400
6562816,4198400
8507904,4198400
712704,184553472
2167808,2084179968
11329024,4198400
2197504,4198400
4825600,4198400
5998592,4198400
3311104,4198400
8493056,4198400
742400,4198400
8493056,4198400
8493056,4198400
6488576,4198400
1143296,4198400
549376,4198400
519680,268439552
4840448,4198400
519680,268439552
460288,4198400
8864256,4198400
668160,4198400
8493056,4198400
8493056,4198400
8507904,4198400
8493056,4198400
8493056,4198400
4959232,268439552
8493056,4198400
8493056,4198400
11329024,4198400
979968,4198400
7691264,4198400
460288,4198400
1069056,268439552
8493056,4198400
1202688,4198400
831488,1881673728
3073536,4198400
8493056,4198400
801792,268439552
5657088,4198400
5449216,4198400
4439552,4198400
2063872,4198400
8507904,4198400
11329024,4198400
4840448,4198400
8493056,4198400
8507904,4198400
4825600,4198400
3266560,4198400
534528,4198400
4157440,4198400
4371260,4198400
3979264,4198400
1128448,4198400
8493056,4198400
2108416,4198400
460288,4198400
504832,4198400
979968,4198400
460288,4198400
460288,4198400
1039360,22020096
11329024,4198400
3608064,4198400
1247232,4198400
876032,268439552
623616,4198400
8507904,4198400
2895360,4198400
8493056,4198400
430592,268439552
4825600,4198400
8983040,4198400
8493056,4198400
5300736,4198400
1217536,1279725568
4810752,4198400
4558336,4198400
5701632,4198400
445440,4198400
668160,4198400
8507904,4198400
1707520,4198400
1187840,268439552
9621504,4198400
653312,4198400
4398740,4198400
683008,4198400
8493056,4198400
5404672,4198400
1336320,4198400
9413632,4198400
8507904,4198400
2435072,268439552
2123264,4198400
7691264,4198400
445440,1833111552
8493056,4198400
1974784,4198400
1841152,4198400
8507904,4198400
2910208,4198400
1856000,4198400
8493056,4198400
4795904,4198400
8166400,4198400
2063872,4198400
668160,4198400
1380864,4198400
4840448,4198400
237568,268439552
7943680,4198400
816640,4198400
638464,268439552
668160,4198400
564224,4198400
8493056,4198400
6815232,4198400
712704,4198400
7097344,4198400
3533824,4198400
3518976,4198400
1276928,4198400
8493056,4198400
727552,4198400
890880,4198400
11329024,4198400
11329024,4198400
7260672,4198400
4840448,4198400
8507904,4198400
579072,1749291008
6399488,4198400
8507904,4198400
1265792,4198400
7513088,4198400
5033472,4198400
994816,4198400
8493056,4198400
8775168,4198400
8507904,4198400
8493056,4198400
549376,16781312
8507904,4198400
460288,4198400
8537600,4198400
8107008,4198400
7691264,4198400
3162624,4198400
8493056,4198400
1172992,4198400
4370796,4198400
2197504,1334382592
3088384,4198400
8507904,4198400
3162624,4198400
4355588,4198400
801792,4198400
460288,4198400
8507904,4198400
950272,4198400
772096,1536036864
5894656,4198400
519680,1593249792
905728,1307774976
3815936,4198400
460288,4198400
11329024,4198400
6354944,4198400
8493056,4198400
3504128,4198400
8493056,4198400
846336,4198400
6518272,16781312
1395712,4198400
712704,4198400
4840448,4198400
8493056,4198400
4424704,4198400
2019328,4198400
8493056,4198400
8507904,4198400
1915392,268439552
965120,4198400
11922944,4198400
2197504,1303904256
593920,4198400
5449216,4198400
5300736,4198400
4825600,4198400
8493056,4198400
8507904,4198400
11329024,4198400
2004480,4198400
4398706,4198400
8507904,4198400
608768,4198400
4395008,4198400
2242048,4198400
8210944,4198400
7305216,4198400
4810752,4198400
460288,4198400
8507904,4198400
2123264,4198400
8493056,4198400
786944,4198400
8507904,4198400
460288,4198400
8507904,4198400
7646720,4198400
2108416,4198400
3177472,4198400
7305216,4198400
2034176,4198400
8493056,4198400
1707520,1732251648
7691264,4198400
1039360,268435456
6384640,4198400
4295364,4198400
3830784,4198400
460288,4198400
816640,4198400
460288,4198400
2019328,4198400
8493056,4198400
8745472,4198400
8493056,4198400
11329024,4198400
1796608,4198400
549376,1893470208
5256192,1828716544
5285888,4198400
445440,4198400
252416,4198400
1707520,4198400
2999296,4198400
5374976,4198400
861184,4198400
876032,268439552
4840448,4198400
8507904,4198400
3058688,4198400
460288,4198400
994816,22024192
6251008,4198400
11329024,4198400
8507904,4198400
11329024,4198400
7156736,4198400
8493056,4198400
1395712,4198400
549376,268439552
4266480,4198400
1930240,4198400
861184,4198400
8493056,4198400
6518272,4198400
460288,1726812160
1766912,4198400
7498240,4198400
623616,268439552
460288,4198400
8507904,4198400
4267220,4198400
2910208,4198400
6087680,4198400
1351168,4198400
4443400,4198400
638464,4198400
3177472,4198400
11329024,4198400
827776,4198400
905728,4198400
7676416,4198400
4281212,4198400
1143296,1832521728
2331136,4198400
1128448,268439552
1039360,4198400
2642944,2014515200
9294848,4198400
8507904,4198400
623616,4198400
8507904,4198400
8493056,4198400
7795200,4198400
1128448,4198400
668160,4198400
11329024,4198400
4810752,4198400
6161920,4198400
8507904,4198400
8507904,4198400
8507904,4198400
8507904,4198400
727552,4198400
3088384,4198400
638464,4198400
1618432,268439552
5300736,4198400
8493056,4198400
3934720,4198400
8507904,4198400
4458098,4198400
653312,268439552
3236864,16781312
4398706,4198400
8493056,4198400
786944,4198400
7943680,4198400
3236864,16781312
9413632,4198400
8493056,4198400
460288,4198400
460288,4198400
11329024,4198400
460288,4198400
1425408,268439552
1187840,1298993152
8522752,4198400
1484800,4198400
8493056,4198400
8107008,4198400
8493056,4198400
8507904,4198400
8507904,4198400
11329024,4198400
876032,4198400
4443586,4198400
445440,4198400
965120,4198400
4443670,4198400
6844928,4198400
11329024,4198400
460288,268439552
460288,4198400
5033472,4198400
5033472,4198400
8493056,4198400
8493056,4198400
1262080,4198400
2553856,4198400
9591808,4198400
8493056,4198400
831488,4198400
11329024,4198400
2345984,268439552
8285184,4198400
460288,4198400
608768,268439552
1217536,4198400
1306624,4198400
2345984,268439552
8493056,4198400
4677120,4198400
9502720,4198400
460288,4198400
549376,4198400
638464,4198400
8507904,4198400
608768,4198400
1989632,4198400
1677824,4198400
445440,4198400
445440,4198400
11952640,4198400
2435072,268439552
4513792,4198400
8493056,4198400
8507904,4198400
1930240,4198400
4840448,4198400
8507904,4198400
8493056,4198400
445440,4198400
6087680,4198400
460288,4198400
2984448,4198400
6359642,4198400
623616,268439552
3266560,4198400
8493056,4198400
6043136,4198400
4395008,4198400
7498240,4198400
1351168,4198400
11329024,4198400
4265610,4198400
6488576,4198400
6251008,4198400
9502720,4198400
10071048,4198400
3622912,4198400
8493056,4198400
7409152,4198400
5374976,4198400
683008,1598820352
2034176,4198400
460288,4198400
237568,268439552
593920,16781312
2242048,4198400
2331136,268439552
1172992,268439552
564224,268439552
8507904,4198400
8493056,4198400
8433664,4198400
638464,4198400
7023104,4198400
7082496,4198400
8507904,4198400
8493056,4198400
8493056,4198400
7468544,4198400
4398856,4198400
460288,4198400
460288,4198400
757248,4198400
460288,4198400
2435072,268439552
786944,4198400
460288,4198400
460288,4198400
3415040,4198400
5033472,4198400
8493056,4198400
460288,4198400
593920,4198400
12754432,4198400
876032,4198400
1662976,4198400
638464,4198400
638464,4198400
1752064,4198400
11329024,4198400
623616,268439552
3058688,4198400
1752064,4198400
9383936,4198400
5241344,4198400
7067648,4198400
608768,4198400
1544192,4198400
8493056,4198400
1069056,4198400
1128448,268439552
2063872,4198400
8493056,4198400
8493056,4198400
8493056,4198400
178176,4198400
1083904,4198400
4267266,4198400
846336,4198400
504832,1993084928
6637056,4198400
12353536,4198400
6057984,4198400
3385344,4198400
489984,4198400
7958528,4198400
1605440,4198400
12368384,4198400
831488,1078988800
2271744,1305481216
1262080,4198400
4399068,4198400
861184,4198400
8507904,4198400
1321472,4198400
608768,4198400
1098752,402657280
579072,268439552
816640,268439552
4810752,4198400
11329024,4198400
757248,4198400
11329024,4198400
8493056,4198400
1306624,268439552
8493056,4198400
1098752,4198400
460288,4198400
475136,268435456
8493056,4198400
816640,4198400
1529344,4198400
1662976,4198400
1217536,268439552
460288,4198400
1930240,4198400
1713993,4096
727552,4198400
9116672,4198400
8507904,4198400
7869440,1617760256
1752064,4198400
2123264,4198400
8493056,4198400
861184,4198400
2420224,268439552
1098752,4198400
4281778,4198400
11329024,4198400
8775168,4198400
8329728,4198400
7424000,4198400
460288,4198400
8493056,4198400
9576960,4198400
8493056,4198400
6889472,4198400
8493056,4198400
5300736,4198400
623616,4198400
8493056,4198400
2167808,4198400
8819712,4198400
504832,268439552
11329024,4198400
1440256,16781312
8493056,4198400
8493056,4198400
2138112,4198400
5300736,4198400
727552,268439552
6354944,4198400
1143296,4198400
608768,16781312
504832,1993084928
727552,4198400
7780352,4198400
5300736,4198400
712704,1279987712
8493056,4198400
534528,4198400
5360128,4198400
1054208,4198400
1158144,4198400
4068352,4198400
445440,4198400
549376,4198400
460288,4198400
4810752,4198400
8507904,4198400
1128448,4198400
8493056,4198400
2123264,4198400
445440,4198400
6458880,4198400
8151552,4198400
8493056,4198400
3043840,4198400
8507904,4198400
7572480,4194304
564224,4198400
3340800,16781312
5300736,4198400
8507904,4198400
11329024,4198400
638464,4198400
3622912,4198400
8507904,4198400
489984,4198400
8493056,4198400
8493056,4198400
8507904,4198400
861184,4198400
4810752,4198400
3845632,5771264
8507904,4198400
861184,4198400
6251008,4198400
8493056,4198400
8493056,4198400
2242048,4198400
4266074,4198400
8493056,4198400
11329024,4198400
861184,4198400
460288,4198400
712704,4198400
11329024,4198400
460288,4198400
2152960,4198400
460288,1834225664
11329024,4198400
5300736,4198400
5300736,4198400
950272,4198400
4413612,4198400
9131520,4198400
8493056,4198400
1781760,4198400
608768,4198400
3385344,4198400
8493056,4198400
3192320,4198400
363161,4096
9428480,4198400
