Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
8.75092e-37,0.0,3.5777e-30,0.0,1.0,0.0,0.0,1.10147e-19,0.0
1.16262e-29,5.43599e-38,5.91302e-31,2.73956e-37,1.0,0.0,2.32859e-38,3.44276e-24,0.0
1.48627e-28,0.0,1.01631e-28,1.44188e-33,1.0,7.4682e-38,1.37401e-33,1.11347e-14,1.0236e-28
1.6263e-28,0.0,6.51382e-27,3.44259e-25,1.0,2.03247e-35,4.23592e-36,1.29866e-14,1.82237e-31
0.0,0.0,1.0,1.48805e-26,0.0,0.0,0.0,4.34794e-18,0.0
4.03485e-38,0.0,1.0,1.24358e-38,0.0,0.0,0.0,3.33612e-18,0.0
5.93119e-36,0.0,1.0,3.81398e-36,0.0,0.0,0.0,8.70536e-18,0.0
1.36524e-31,0.0,1.0,1.28188e-34,0.0,0.0,0.0,8.74447e-17,0.0
2.01423e-29,0.0,1.0,2.66255e-25,0.0,0.0,0.0,2.74716e-13,0.0
0.0,0.0,1.0,2.84717e-32,0.0,0.0,0.0,1.37303e-17,0.0
4.46993e-36,0.0,1.0,1.96277e-24,0.0,0.0,0.0,8.24522e-16,0.0
3.98801e-34,0.0,1.0,0.0,0.0,0.0,0.0,3.65608e-18,0.0
7.30996e-33,0.0,1.0,2.0417e-34,0.0,0.0,0.0,1.12905e-16,0.0
2.11758e-32,0.0,1.0,2.5954e-34,0.0,0.0,0.0,1.23182e-16,0.0
0.0,0.0,1.0,3.35221e-38,0.0,0.0,0.0,5.69046e-19,0.0
0.0,0.0,1.0,1.47136e-37,0.0,0.0,0.0,4.5599e-19,0.0
1.07692e-30,0.0,1.0,1.49818e-33,0.0,0.0,0.0,3.10824e-16,0.0
4.07733e-37,0.0,1.0,3.6164e-23,0.0,0.0,0.0,5.07129e-16,0.0
2.44197e-36,0.0,1.0,9.18684e-25,0.0,0.0,0.0,6.61366e-16,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5805e-28,1.91453e-36
1.13392e-32,0.0,1.0,0.0,0.0,0.0,0.0,7.70758e-18,0.0
4.20408e-36,0.0,1.0,6.7735e-35,0.0,0.0,0.0,6.05407e-18,0.0
1.38302e-28,0.0,1.0,1.1856e-24,0.0,0.0,0.0,4.62418e-13,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00178e-24,0.0
1.51794e-31,0.0,1.0,6.33296e-38,0.0,0.0,0.0,3.82292e-17,0.0
6.00749e-30,1.21195e-24,1.0,7.53155e-22,0.0,0.0,0.0,5.66371e-13,0.0
9.60785e-30,0.0,1.0,3.75202e-34,0.0,0.0,0.0,2.81447e-16,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.50926e-23,3.02628e-33,1.41508e-26,6.89407e-20,1.0,1.91514e-27,3.42607e-30,9.16793e-11,2.06352e-31
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07615e-27,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12883e-36,0.0
0.0,0.0,0.0,0.0,0.0,1.21084e-37,0.0,0.0,1.0
3.23294e-37,0.0,1.0,2.28501e-37,0.0,0.0,0.0,1.74692e-18,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.51505e-34,0.0,1.0,1.44243e-26,0.0,0.0,0.0,2.93299e-12,0.0
1.0,3.17686e-35,0.0,0.0,2.56949e-36,0.0,4.64533e-38,5.96006e-20,7.23462e-38
1.0,5.66403e-29,6.91134e-29,4.40457e-32,1.99896e-28,1.51472e-30,1.6973e-28,3.08913e-14,3.20397e-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.53851e-33,0.0,1.0,2.22027e-29,0.0,0.0,0.0,9.59869e-16,0.0
9.33285e-28,2.22517e-20,1.26944e-36,1.41943e-21,5.00009e-29,1.0,1.33874e-32,2.79633e-21,7.88463e-28
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22935e-33,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65511e-27,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88939e-36,0.0
4.70417e-33,0.0,1.0,1.84772e-27,0.0,0.0,0.0,6.28117e-13,0.0
1.01526e-34,0.0,0.0,3.39509e-31,0.0,1.0,0.0,8.98296e-33,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.22672e-27,0.0,1.0,1.32125e-31,0.0,0.0,0.0,5.60994e-15,0.0
1.0,7.23336e-29,1.81089e-35,9.44667e-31,1.65123e-30,1.94012e-27,9.77381e-34,3.29467e-15,2.11106e-27
1.76043e-29,0.0,1.0,8.83925e-33,0.0,0.0,0.0,6.80545e-16,0.0
2.11567e-36,0.0,0.0,0.0,0.0,3.53082e-33,3.02778e-38,8.81915e-37,1.0
7.35145e-35,0.0,1.0,0.0,0.0,0.0,0.0,3.80155e-18,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.32994e-32,0.0,6.8383e-28,6.48265e-11,0.0,3.26664e-37,8.46766e-35,1.0,0.0
3.19047e-31,0.0,1.0,1.11411e-33,0.0,0.0,0.0,5.0893e-16,0.0
8.28553e-27,0.0,1.21392e-17,4.12351e-35,0.0,6.21744e-36,0.0,1.0,2.648e-34
1.34008e-34,0.0,0.0,0.0,0.0,3.17768e-37,0.0,0.0,1.0
1.0,4.75127e-33,1.64876e-35,1.6377e-35,8.65975e-33,3.52936e-35,2.08332e-34,5.86275e-17,2.31319e-36
1.16551e-21,2.21292e-31,2.17927e-22,5.03923e-22,4.32737e-28,1.0,1.93765e-30,6.67952e-18,2.95183e-32
3.85006e-34,2.57025e-35,1.0,5.30598e-22,0.0,0.0,0.0,4.5697e-15,0.0
3.15475e-34,0.0,1.0,6.90647e-35,0.0,0.0,0.0,3.06785e-17,0.0
9.19264e-38,0.0,1.0,3.74261e-38,0.0,0.0,0.0,3.83934e-19,0.0
0.0,0.0,1.0,1.3493e-33,0.0,0.0,0.0,2.98289e-19,0.0
1.0,1.6968e-33,0.0,0.0,5.26668e-37,2.37384e-35,0.0,1.29759e-21,4.01198e-33
4.85799e-34,0.0,1.0,0.0,0.0,0.0,0.0,4.90703e-20,0.0
1.0,0.0,0.0,0.0,0.0,1.67208e-33,0.0,1.82743e-29,0.0
8.56651e-31,0.0,1.0,4.74079e-34,0.0,0.0,0.0,1.51375e-16,0.0
0.0,1.0,0.0,0.0,0.0,0.0,4.81555e-36,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28773e-30,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.11609e-31,0.0,1.0,1.19477e-33,0.0,0.0,0.0,1.24428e-16,0.0
7.81428e-32,0.0,1.0,1.22306e-34,0.0,0.0,0.0,1.89887e-16,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.98338e-38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,4.06157e-38,0.0,0.0,0.0,3.7173e-19,0.0
1.0,2.45606e-37,0.0,0.0,2.06018e-37,1.44804e-38,0.0,1.12386e-21,1.21858e-32
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.28046e-36,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,3.63379e-30,0.0,0.0,0.0,5.04128e-17,0.0
2.6386e-33,0.0,1.0,0.0,0.0,0.0,0.0,1.20727e-18,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.67693e-34,0.0,1.0,0.0,0.0,0.0,0.0,4.77504e-19,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.16884e-19,0.0
8.70395e-29,0.0,1.0,4.6537e-31,0.0,0.0,0.0,3.17787e-15,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13223e-33,0.0
0.0,0.0,0.0,2.39015e-35,0.0,1.0,0.0,2.91462e-34,0.0
1.55372e-31,0.0,1.0,1.46049e-36,0.0,0.0,0.0,2.67247e-17,0.0
7.58085e-27,0.0,1.0,1.06393e-32,0.0,0.0,0.0,8.56606e-15,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
