Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,Prediction7,Prediction8,Prediction9
0.0492413,0.00515157,0.00515661,0.0398453,0.126256,0.0671341,0.0404297,0.629619,0.0371658
0.0245028,0.0133433,0.017202,0.135697,0.161916,0.167762,0.242101,0.213728,0.0237484
0.0220631,0.0124804,0.0162682,0.117409,0.175212,0.135711,0.294772,0.208703,0.0173819
0.0238874,0.0164638,0.0176924,0.171991,0.147507,0.166233,0.244788,0.187653,0.0237843
3.06724e-21,1.93286e-16,1.0,0.0,1.60528e-17,1.747e-21,1.13242e-15,3.868e-21,2.94639e-12
1.1246e-31,3.7281e-24,1.0,0.0,1.43459e-25,6.70608e-32,1.93988e-22,2.32737e-31,9.78993e-19
1.45184e-18,1.59627e-14,1.0,7.57134e-35,3.8971e-15,1.1535e-18,1.51193e-13,3.6461e-18,7.48636e-11
7.6811e-19,1.29422e-14,1.0,2.93565e-35,2.82023e-15,6.52426e-19,1.42195e-13,1.85593e-18,4.45071e-11
4.10972e-21,6.35583e-16,1.0,0.0,8.965e-17,4.18655e-21,1.69453e-14,1.16704e-20,1.07443e-12
9.08545e-28,8.36786e-21,1.0,0.0,2.86332e-22,5.41537e-28,2.91394e-19,1.52029e-27,1.38323e-16
8.16956e-20,3.07473e-15,1.0,1.63645e-37,2.49669e-16,4.49236e-20,1.48095e-14,9.08687e-20,1.83684e-11
9.97248e-19,1.39575e-14,1.0,5.44482e-35,3.66026e-15,9.32841e-19,1.76713e-13,2.88266e-18,5.05414e-11
8.71015e-23,2.27957e-17,1.0,0.0,2.88744e-18,7.63714e-23,5.47069e-16,2.19206e-22,1.47315e-13
3.93326e-23,1.03321e-17,1.0,0.0,1.28075e-18,3.01703e-23,2.23225e-16,9.58475e-23,1.02683e-13
2.20136e-23,7.14411e-18,1.0,0.0,8.99984e-19,1.6568e-23,1.79348e-16,5.94992e-23,6.5322e-14
3.18565e-24,1.96287e-18,1.0,0.0,2.17637e-19,2.62074e-24,5.93706e-17,8.65441e-24,1.96242e-14
1.78567e-22,3.16492e-17,1.0,0.0,4.13539e-18,1.30101e-22,6.10561e-16,4.27364e-22,2.50061e-13
2.46291e-21,1.9566e-16,1.0,0.0,1.08606e-17,1.19236e-21,7.48174e-16,2.04289e-21,3.11972e-12
1.94216e-20,1.02089e-15,1.0,0.0,8.06812e-17,1.11311e-20,5.43969e-15,2.21084e-20,7.97201e-12
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03109e-24,5.16998e-27
8.83931e-19,1.34422e-14,1.0,4.67625e-35,3.48448e-15,8.64582e-19,1.78225e-13,2.58292e-18,4.60142e-11
1.12652e-18,1.34479e-14,1.0,4.80225e-35,3.23829e-15,9.02046e-19,1.31508e-13,2.84418e-18,6.34192e-11
2.48661e-21,4.49604e-16,1.0,0.0,6.34853e-17,2.59883e-21,1.31051e-14,7.31882e-21,7.64848e-13
0.999925,6.48511e-10,3.70943e-23,2.92101e-18,1.005e-10,1.78394e-15,3.12629e-24,7.44498e-05,9.99961e-07
2.42509e-19,6.44133e-15,1.0,5.03973e-36,1.4647e-15,2.51006e-19,1.01297e-13,6.89489e-19,1.89519e-11
2.62831e-15,1.90487e-11,1.0,3.69768e-29,6.15928e-13,7.85736e-16,1.70686e-11,8.51715e-16,1.0331e-08
1.52138e-22,2.80533e-17,1.0,0.0,3.54866e-18,1.08569e-22,5.26328e-16,3.53795e-22,2.3139e-13
